date,equity,spot,realized_equity
2025-04-03,111563.5162848226,46.57,111563.5162848226
2025-04-04,111563.5162848226,47.71,111563.5162848226
2025-04-07,111563.5162848226,44.27,111563.5162848226
2025-04-08,111563.5162848226,43.59,111563.5162848226
2025-04-09,111563.5162848226,46.83,111563.5162848226
2025-04-10,111563.5162848226,45.17,111563.5162848226
2025-04-11,111563.5162848226,47.67,111563.5162848226
2025-04-14,111563.5162848226,48.28,111563.5162848226
2025-04-15,111563.5162848226,47.74,111563.5162848226
2025-04-16,111563.5162848226,47.96,111563.5162848226
2025-04-17,111563.5162848226,48.26,111563.5162848226
2025-04-21,111563.5162848226,49.72,111563.5162848226
2025-04-22,111563.5162848226,52.08,111563.5162848226
2025-04-23,111563.5162848226,53.2,111563.5162848226
2025-04-24,111563.5162848226,53.26,111563.5162848226
2025-04-25,111563.5162848226,54.27,111563.5162848226
2025-04-28,111563.5162848226,53.88,111563.5162848226
2025-04-29,111563.5162848226,54.22,111563.5162848226
2025-04-30,111563.5162848226,53.51,111563.5162848226
2025-05-01,111563.5162848226,54.95,111563.5162848226
2025-05-02,111563.5162848226,55.19,111563.5162848226
2025-05-05,111563.5162848226,53.63,111563.5162848226
2025-05-06,111563.5162848226,53.97,111563.5162848226
2025-05-07,111563.5162848226,54.68,111563.5162848226
2025-05-08,111563.5162848226,57.62,111563.5162848226
2025-05-09,111563.5162848226,58.66,111563.5162848226
2025-05-12,111563.5162848226,57.88,111563.5162848226
2025-05-13,111563.5162848226,59.62,111563.5162848226
2025-05-14,111563.5162848226,58.74,111563.5162848226
2025-05-15,111563.5162848226,58.67,111563.5162848226
2025-05-16,111563.5162848226,59.2,111563.5162848226
2025-05-19,111563.5162848226,59.99,111563.5162848226
2025-05-20,112038.35378482261,60.91,112004.8787848226
2025-05-21,112269.60378482261,61.79,112004.8787848226
2025-05-22,112776.79128482261,63.23,112460.3162848226
2025-05-23,112759.66628482261,61.83,112460.3162848226
2025-05-27,113099.40378482261,62.5,112786.51628482262
2025-05-28,112980.70378482262,60.79,112786.51628482262
2025-05-29,112523.07878482262,59.99,112786.51628482262
2025-05-30,112365.80378482262,59.46,112800.19128482262
2025-06-02,112856.52878482261,59.36,112800.19128482262
2025-06-03,113282.52878482261,60.4,112800.19128482262
2025-06-04,112887.04128482263,59.64,112800.19128482262
2025-06-05,111970.61628482262,57.87,112739.89128482262
2025-06-06,113107.56628482262,59.26,113049.81628482262
2025-06-09,113757.66628482263,61.77,113415.66628482263
2025-06-10,113810.86628482262,62.29,113810.86628482262
2025-06-11,113927.06628482262,61.84,113810.86628482262
2025-06-12,114021.86628482262,60.7,113810.86628482262
2025-06-13,113652.48288674743,59.74,113583.06628482262
2025-06-16,113681.09128482261,61.8,113583.06628482262
2025-06-17,113606.71295113812,59.5,113583.06628482262
2025-06-18,113882.37661929747,58.97,113583.06628482262
2025-06-20,113979.10378482263,58.67,113583.06628482262
2025-06-23,113908.14128482262,58.67,113583.06628482262
2025-06-24,114241.77878482263,60.06,113803.86628482262
2025-06-25,114178.95378482262,61.275,114054.82878482262
2025-06-26,114258.45378482262,61.14,114054.82878482262
2025-06-27,114233.85378482261,60.72,114054.82878482262
2025-06-30,114257.62878482262,61.21,114257.62878482262
2025-07-01,114257.62878482262,59.84,114257.62878482262
2025-07-02,114257.62878482262,62.42,114257.62878482262
2025-07-03,114257.62878482262,62.19,114257.62878482262
2025-07-07,114257.62878482262,61.4,114257.62878482262
2025-07-08,114257.62878482262,61.82,114257.62878482262
2025-07-09,114257.62878482262,63.58,114257.62878482262
2025-07-10,114946.92878482262,64.5,114946.92878482262
2025-07-11,115332.65378482263,67.21,114946.92878482262
2025-07-14,115612.17878482262,68.18,115454.07878482262
2025-07-15,115454.87878482262,66.16,115454.07878482262
2025-07-16,115515.67878482262,67.83,115454.07878482262
2025-07-17,115614.07878482262,67.65,115454.07878482262
2025-07-18,115563.97878482261,66.68,115454.07878482262
2025-07-21,115783.12878482262,66.33,115454.07878482262
2025-07-22,116231.67878482261,67.82,115929.27878482261
2025-07-23,116140.82878482262,67.29,115929.27878482261
2025-07-24,116255.12437537129,67.66,115933.82437537129
2025-07-25,115996.26187537129,66.36,115933.82437537129
2025-07-28,116594.69937537129,67.1,115933.82437537129
2025-07-29,116533.39937537129,66.71,115933.82437537129
2025-07-30,116745.1743753713,66.37,116550.32437537129
2025-07-31,117066.94937537129,66.32,117014.72437537128
2025-08-01,116899.19937537129,64.22,116704.89937537129
2025-08-04,116931.34937537128,65.2,116704.89937537129
2025-08-05,116725.42437537128,64.55,116704.89937537129
2025-08-06,117233.47437537128,65.51,116704.89937537129
2025-08-07,117582.82437537127,66.83,117598.79937537128
2025-08-08,118107.49937537128,66.13,117598.79937537128
2025-08-11,118450.94937537127,67.64,117598.79937537128
2025-08-12,118509.99937537128,67.95,117598.79937537128
2025-08-13,118803.17437537127,69.84,118735.59937537127
2025-08-14,118353.08687537127,67.03,118735.59937537127
2025-08-15,118515.87437537126,66.44,118735.59937537127
2025-08-18,118182.47437537127,66.05,118747.59937537127
2025-08-19,117751.66187537127,64.19,118747.59937537127
2025-08-20,117805.98687537127,64.9,118747.59937537127
2025-08-21,117618.38687537127,63.69,118747.59937537127
2025-08-22,118340.16187537127,66.25,118747.59937537127
2025-08-25,117507.72437537127,62.88,119048.39937537127
2025-08-26,117090.14937537127,63.1,118024.12437537128
2025-08-27,117268.64937537127,63.65,118024.12437537128
2025-08-28,117339.82437537127,63.58,118024.12437537128
2025-08-29,116582.77437537127,61.44,117030.89937537127
2025-09-02,116737.87437537128,62.97,117030.89937537127
2025-09-03,116797.79937537127,63.77,117030.89937537127
2025-09-04,116676.67437537127,62.35,117030.89937537127
2025-09-05,116862.82437537127,63.42,117030.89937537127
2025-09-08,116856.22437537127,63.7,117030.89937537127
2025-09-09,116836.94937537127,63.22,117030.89937537127
2025-09-10,116980.04937537127,64.53,117030.89937537127
2025-09-11,117072.52437537127,65.03,117030.89937537127
2025-09-12,117185.69937537127,66.38,117185.69937537127
2025-09-15,117185.69937537127,65.5,117185.69937537127
2025-09-16,117185.69937537127,66.37,117185.69937537127
2025-09-17,117185.69937537127,65.67,117185.69937537127
2025-09-18,117622.29937537128,66.75,117374.49937537128
2025-09-19,117605.49937537128,65.37,117374.49937537128
2025-09-22,117685.29937537128,63.65,117374.49937537128
2025-09-23,117823.97437537128,63.41,117374.49937537128
2025-09-24,117495.03687537128,64.42,117723.09937537128
2025-09-25,118073.12437537128,62.1,117723.09937537128
2025-09-26,118057.96187537129,61.94,117870.09937537128
2025-09-29,117759.77437537129,64.97,117889.09937537128
2025-09-30,117406.88687537129,65.0,117889.09937537128
2025-10-01,117407.93236388492,66.74,117889.09937537128
2025-10-02,116586.02437537129,68.77,117889.09937537128
2025-10-03,117603.14937537129,69.81,117889.09937537128
2025-10-06,116003.67437537128,71.29,116297.42437537128
2025-10-07,115740.41187537128,69.13,116297.42437537128
2025-10-08,115773.87713296164,70.06,115477.48687537128
2025-10-09,115818.44937537127,68.74,115477.48687537128
2025-10-10,114607.03954908681,66.2,115001.61187537128
2025-10-13,114665.23687537128,65.81,115001.61187537128
2025-10-14,114645.91187537128,63.91,115001.61187537128
2025-10-15,114412.16187537128,63.17,115001.61187537128
2025-10-16,114220.66187537128,61.43,115206.21187537129
2025-10-17,113592.17437537128,60.47,114313.48687537128
2025-10-20,114054.29937537128,62.93,114313.48687537128
2025-10-21,114125.28687537128,63.49,114313.48687537128
2025-10-22,113961.74937537128,61.21,114313.48687537128
2025-10-23,114019.66187537128,62.56,114313.48687537128
2025-10-24,114288.07437537127,62.83,114313.48687537128
2025-10-27,114555.61187537128,65.28,114633.08687537129
2025-10-28,114312.46187537129,64.49,114696.83687537129
2025-10-29,114816.72437537128,62.75,114696.83687537129
2025-10-30,115034.63687537129,60.4,114828.83687537129
2025-10-31,114831.83687537129,62.3,114831.83687537129
2025-11-03,114831.83687537129,60.53,114831.83687537129
2025-11-04,114831.83687537129,57.18,114831.83687537129
2025-11-05,114736.00760527297,58.92,114831.83687537129
2025-11-06,114713.14937537129,57.26,114831.83687537129
2025-11-07,114727.77437537129,58.88,114831.83687537129
2025-11-10,114864.33687537129,60.19,114831.83687537129
2025-11-11,114742.70468070335,58.35,114831.83687537129
2025-11-12,114653.89937537129,57.59,114831.83687537129
2025-11-13,115118.83687537129,55.59,114993.83687537129
2025-11-14,115157.83687537129,53.475,115157.83687537129
2025-11-17,115553.83687537129,52.1,115379.83687537129
2025-11-18,115322.81187537129,52.66,115379.83687537129
2025-11-19,115902.2368753713,50.73,115568.63687537129
2025-11-20,116262.43687537129,48.96,115902.43687537129
2025-11-21,116387.4118753713,47.97,116064.43687537129
2025-11-24,116271.74937537129,50.57,116105.49937537129
2025-11-25,115605.43088136068,49.56,116105.49937537129
2025-11-26,116160.74937537129,51.03,116105.49937537129
2025-11-28,116306.99937537129,51.55,116105.49937537129
2025-12-01,116565.8993753713,48.5,116495.8993753713
2025-12-02,116492.7493753713,51.67,116495.8993753713
2025-12-03,116348.8993753713,52.74,116495.8993753713
2025-12-04,116366.2243753713,52.51,116495.8993753713
2025-12-05,116565.8993753713,50.69,116495.8993753713
2025-12-08,116523.8993753713,51.52,116495.8993753713
2025-12-09,116411.8993753713,52.85,116495.8993753713
2025-12-10,116481.8993753713,52.49,116495.8993753713
2025-12-11,116495.8993753713,52.1,116495.8993753713
2025-12-12,116605.0993753713,51.2,116605.0993753713
2025-12-15,116605.0993753713,48.66,116605.0993753713
2025-12-16,116605.0993753713,49.71,116605.0993753713
2025-12-17,116605.0993753713,48.71,116605.0993753713
2025-12-18,116605.0993753713,47.96,116605.0993753713
2025-12-19,116605.0993753713,49.91,116605.0993753713
2025-12-22,116605.0993753713,50.09,116605.0993753713
2025-12-23,116605.0993753713,49.65,116605.0993753713
2025-12-24,116605.0993753713,49.46,116605.0993753713
2025-12-26,116605.0993753713,49.61,116605.0993753713
2025-12-29,116605.0993753713,49.38,116605.0993753713
2025-12-30,116605.0993753713,49.83,116605.0993753713
2025-12-31,116605.0993753713,49.65,116605.0993753713
2026-01-02,116605.0993753713,50.94,116605.0993753713
2026-01-05,116605.0993753713,53.46,116605.0993753713
2026-01-06,116605.0993753713,52.45,116605.0993753713
2026-01-07,116605.0993753713,51.54,116605.0993753713
2026-01-08,116605.0993753713,51.52,116605.0993753713
2026-01-09,116605.0993753713,51.16,116605.0993753713
2026-01-12,116605.0993753713,51.87,116605.0993753713
2026-01-13,116605.0993753713,53.57,116605.0993753713
2026-01-14,116605.0993753713,55.44,116605.0993753713
2026-01-15,116605.0993753713,54.0,116605.0993753713
2026-01-16,116605.0993753713,54.24,116605.0993753713
2026-01-20,116605.0993753713,50.76,116605.0993753713
2026-01-21,116605.0993753713,51.11,116605.0993753713
2026-01-22,116605.0993753713,50.67,116605.0993753713
2026-01-23,116605.0993753713,50.7,116605.0993753713
2026-01-26,116605.0993753713,49.65,116605.0993753713
2026-01-27,116605.0993753713,50.63,116605.0993753713
2026-01-28,116605.0993753713,50.51,116605.0993753713
2026-01-29,116605.0993753713,47.6,116605.0993753713
2026-01-30,116605.0993753713,47.49,116605.0993753713
2026-02-02,116605.0993753713,44.22,116605.0993753713
2026-02-03,116605.0993753713,43.3,116605.0993753713
2026-02-04,116605.0993753713,41.57,116605.0993753713
2026-02-05,116605.0993753713,36.1,116605.0993753713
2026-02-06,116473.5118753713,39.68,116605.0993753713
2026-02-09,116480.6618753713,40.11,116605.0993753713
2026-02-10,116865.24937537129,38.97,116605.0993753713
2026-02-11,117019.0993753713,38.29,116605.0993753713
2026-02-12,117181.0993753713,37.05,117181.0993753713
2026-02-13,117181.0993753713,38.97,117181.0993753713
2026-02-17,117181.0993753713,38.39,117181.0993753713
2026-02-18,117181.0993753713,37.54,117181.0993753713
2026-02-19,117181.0993753713,38.07,117181.0993753713
2026-02-20,117181.0993753713,38.42,117181.0993753713
2026-02-23,117181.0993753713,36.55,117181.0993753713
2026-02-24,117181.0993753713,36.53,117181.0993753713
2026-02-25,117181.0993753713,39.23,117181.0993753713
2026-02-26,117181.0993753713,38.26,117181.0993753713
2026-02-27,117181.0993753713,37.19,117181.0993753713
2026-03-02,117181.0993753713,39.195,117181.0993753713
2026-03-03,117181.0993753713,38.7,117181.0993753713
2026-03-04,117181.0993753713,41.44,117181.0993753713
2026-03-05,117181.0993753713,40.39,117181.0993753713
2026-03-06,117181.0993753713,38.6,117181.0993753713
2026-03-09,117181.0993753713,39.13,117181.0993753713
2026-03-10,117181.0993753713,39.71,117181.0993753713
2026-03-11,117181.0993753713,40.07,117181.0993753713
2026-03-12,117181.0993753713,39.95,117181.0993753713
2026-03-13,117181.0993753713,40.37,117181.0993753713
2026-03-16,117181.0993753713,41.94,117181.0993753713
2026-03-17,117181.0993753713,42.27,117181.0993753713
2026-03-18,117181.0993753713,40.26,117181.0993753713
2026-03-19,117181.0993753713,39.82,117181.0993753713
2026-03-20,117181.0993753713,39.77,117181.0993753713
2026-03-23,117181.0993753713,40.05,117181.0993753713
2026-03-24,117181.0993753713,39.28,117181.0993753713
2026-03-25,117181.0993753713,40.17,117181.0993753713
2026-03-26,117181.0993753713,38.82,117181.0993753713
2026-03-27,117181.0993753713,37.4,117181.0993753713
2026-03-30,117181.0993753713,37.68,117181.0993753713
2026-03-31,117396.99937537129,38.42,117181.0993753713
2026-04-01,117308.1743753713,38.64,117181.0993753713
2026-04-02,117589.0993753713,37.97,117181.0993753713
