date,equity,spot,realized_equity
2025-04-03,115676.8815388076,46.57,115676.8815388076
2025-04-04,115676.8815388076,47.71,115676.8815388076
2025-04-07,115676.8815388076,44.27,115676.8815388076
2025-04-08,115676.8815388076,43.59,115676.8815388076
2025-04-09,115676.8815388076,46.83,115676.8815388076
2025-04-10,115676.8815388076,45.17,115676.8815388076
2025-04-11,115676.8815388076,47.67,115676.8815388076
2025-04-14,115676.8815388076,48.28,115676.8815388076
2025-04-15,115676.8815388076,47.74,115676.8815388076
2025-04-16,115676.8815388076,47.96,115676.8815388076
2025-04-17,115676.8815388076,48.26,115676.8815388076
2025-04-21,115676.8815388076,49.72,115676.8815388076
2025-04-22,115676.8815388076,52.08,115676.8815388076
2025-04-23,115676.8815388076,53.2,115676.8815388076
2025-04-24,115676.8815388076,53.26,115676.8815388076
2025-04-25,115676.8815388076,54.27,115676.8815388076
2025-04-28,115676.8815388076,53.88,115676.8815388076
2025-04-29,115676.8815388076,54.22,115676.8815388076
2025-04-30,115676.8815388076,53.51,115676.8815388076
2025-05-01,115676.8815388076,54.95,115676.8815388076
2025-05-02,115676.8815388076,55.19,115676.8815388076
2025-05-05,115676.8815388076,53.63,115676.8815388076
2025-05-06,115676.8815388076,53.97,115676.8815388076
2025-05-07,115676.8815388076,54.68,115676.8815388076
2025-05-08,115676.8815388076,57.62,115676.8815388076
2025-05-09,115676.8815388076,58.66,115676.8815388076
2025-05-12,115676.8815388076,57.88,115676.8815388076
2025-05-13,115676.8815388076,59.62,115676.8815388076
2025-05-14,115676.8815388076,58.74,115676.8815388076
2025-05-15,115676.8815388076,58.67,115676.8815388076
2025-05-16,115676.8815388076,59.2,115676.8815388076
2025-05-19,115676.8815388076,59.99,115676.8815388076
2025-05-20,115981.8065388076,60.91,116144.2065388076
2025-05-21,115951.4190388076,61.79,116144.2065388076
2025-05-22,116416.4315388076,63.23,116144.2065388076
2025-05-23,116802.0065388076,61.83,116144.2065388076
2025-05-27,116602.41903880761,62.5,116526.0065388076
2025-05-28,117002.75653880762,60.79,117084.83153880762
2025-05-29,116936.43153880762,59.99,117084.83153880762
2025-05-30,117006.69403880762,59.46,117084.83153880762
2025-06-02,117434.44403880762,59.36,117084.83153880762
2025-06-03,117618.65653880761,60.4,117084.83153880762
2025-06-04,117475.21903880761,59.64,117084.83153880762
2025-06-05,116924.99403880762,57.87,116760.55653880762
2025-06-06,118074.25653880763,59.26,117578.95653880763
2025-06-09,118297.05653880764,61.77,117944.80653880764
2025-06-10,118305.93153880764,62.29,117944.80653880764
2025-06-11,118589.88153880763,61.84,117944.80653880764
2025-06-12,119120.08153880763,60.7,117944.80653880764
2025-06-13,118715.16903880764,59.74,118133.79403880764
2025-06-16,118641.79403880764,61.8,118574.29403880764
2025-06-17,118999.29403880764,59.5,118999.29403880764
2025-06-18,119342.16903880764,58.97,118999.29403880764
2025-06-20,119340.26903880764,58.67,118999.29403880764
2025-06-23,119417.50653880763,58.67,118999.29403880764
2025-06-24,119570.44403880765,60.06,119233.89403880764
2025-06-25,119647.16696353049,61.275,119499.61903880765
2025-06-26,119512.15653880766,61.14,119499.61903880765
2025-06-27,119617.98153880765,60.72,119499.61903880765
2025-06-30,119688.95653880764,61.21,119499.61903880765
2025-07-01,119493.24403880765,59.84,119493.24403880765
2025-07-02,119493.24403880765,62.42,119493.24403880765
2025-07-03,119493.24403880765,62.19,119493.24403880765
2025-07-07,119668.04403880765,61.4,119493.24403880765
2025-07-08,119604.04403880765,61.82,119493.24403880765
2025-07-09,119387.24403880765,63.58,119387.24403880765
2025-07-10,120029.18153880765,64.5,119704.54403880765
2025-07-11,120316.03153880766,67.21,119704.54403880765
2025-07-14,120401.78153880764,68.18,120228.00653880765
2025-07-15,120352.83153880764,66.16,120228.00653880765
2025-07-16,120093.97257369269,67.83,120228.00653880765
2025-07-17,121041.94403880765,67.65,120809.89403880764
2025-07-18,121603.59403880766,66.68,121057.61903880765
2025-07-21,121866.93153880765,66.33,121057.61903880765
2025-07-22,121709.10215711615,67.82,121338.01903880764
2025-07-23,121762.83153880764,67.29,121338.01903880764
2025-07-24,121736.16903880764,67.66,121338.01903880764
2025-07-25,122300.25653880765,66.36,121793.14403880764
2025-07-28,122230.93153880765,67.1,121996.93153880765
2025-07-29,122165.13153880765,66.71,121996.93153880765
2025-07-30,122189.55653880765,66.37,121996.93153880765
2025-07-31,122411.33153880764,66.32,121996.93153880765
2025-08-01,121650.78153880764,64.22,121796.28153880764
2025-08-04,122175.98153880764,65.2,121796.28153880764
2025-08-05,122442.98153880765,64.55,122593.88153880765
2025-08-06,122441.29403880765,65.51,122593.88153880765
2025-08-07,122540.16903880765,66.83,122593.88153880765
2025-08-08,122539.93153880764,66.13,122520.28153880764
2025-08-11,122174.36903880764,67.64,122520.28153880764
2025-08-12,122028.91903880764,67.95,122774.68153880764
2025-08-13,121689.80653880764,69.84,121531.18153880764
2025-08-14,121707.68153880764,67.03,121531.18153880764
2025-08-15,121616.30653880764,66.44,121531.18153880764
2025-08-18,121199.30653880764,66.05,121543.98153880764
2025-08-19,120838.30653880764,64.19,121543.98153880764
2025-08-20,121187.76200765077,64.9,121543.98153880764
2025-08-21,120478.32456452081,63.69,120779.49956452081
2025-08-22,120978.4284155963,66.25,120779.49956452081
2025-08-25,120532.15067286589,62.88,120446.27456452082
2025-08-26,119712.50073300424,63.1,119712.50073300424
2025-08-27,119712.50073300424,63.65,119712.50073300424
2025-08-28,119712.50073300424,63.58,119712.50073300424
2025-08-29,119712.50073300424,61.44,119712.50073300424
2025-09-02,119712.50073300424,62.97,119712.50073300424
2025-09-03,119712.50073300424,63.77,119712.50073300424
2025-09-04,119712.50073300424,62.35,119712.50073300424
2025-09-05,119712.50073300424,63.42,119712.50073300424
