entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2025-07-03,2025-07-09,call_credit,2025-08-08,36,16,0.27,1.0,0.27,0.8151,5.09,62.19,0.2942500000000001,trail,-106.0,1168.0
2025-07-09,2025-07-10,put_credit,2025-08-01,23,19,0.4,1.0,0.4,0.7388,10.3,63.58,0.19100000000000006,profit_target,317.3,1140.0
2025-07-10,2025-07-14,put_credit,2025-08-22,43,19,0.38,1.0,0.38,0.6911,3.52,64.5,0.1748749999999999,profit_target,309.94,1178.0
2025-07-10,2025-07-14,put_credit,2025-08-22,43,6,0.71,2.5,0.284,0.7332,6.31,64.5,0.312125,profit_target,213.52,1074.0
2025-07-15,2025-07-17,call_credit,2025-08-22,38,18,0.34,1.0,0.34,0.799,10.22,66.16,0.0971249999999999,profit_target,361.58,1188.0
2025-07-15,2025-07-17,call_credit,2025-08-29,45,15,0.22,1.0,0.22,0.9344,11.59,66.16,0.031124999999999958,profit_target,220.31,1170.0
2025-07-17,2025-07-18,call_credit,2025-08-08,22,18,0.34,1.0,0.34,0.8031,10.81,67.65,0.16037500000000005,profit_target,247.72,1188.0
2025-07-11,2025-07-22,put_credit,2025-08-01,21,8,0.61,2.0,0.305,0.713,4.06,67.21,0.27,profit_target,238.4,1112.0
2025-07-17,2025-07-22,call_credit,2025-08-15,29,16,0.25,1.0,0.25,0.8482,6.42,67.65,0.18174999999999997,trail,42.0,1200.0
2025-07-09,2025-07-25,iron_condor,2025-08-08,30,11,0.98,2.0,0.49,0.6532,37.92,63.58,0.48224999999999996,profit_target,455.13,1122.0
2025-07-18,2025-07-28,call_credit,2025-08-29,42,17,0.3,1.0,0.3,0.8146,7.88,66.68,0.2561249999999998,trail,3.19,1190.0
2025-07-22,2025-07-28,call_credit,2025-08-22,31,17,0.29,1.0,0.29,0.8064,6.24,67.82,0.13,profit_target,200.6,1207.0
