date,equity,spot,realized_equity
2025-12-17,103176.81250880791,48.71,103176.81250880791
2025-12-18,103176.81250880791,47.96,103176.81250880791
2025-12-19,103176.81250880791,49.91,103176.81250880791
2025-12-22,103176.81250880791,50.09,103176.81250880791
2025-12-23,103176.81250880791,49.65,103176.81250880791
2025-12-24,103176.81250880791,49.46,103176.81250880791
2025-12-26,103176.81250880791,49.61,103176.81250880791
2025-12-29,103176.81250880791,49.38,103176.81250880791
2025-12-30,103176.81250880791,49.83,103176.81250880791
2025-12-31,103176.81250880791,49.65,103176.81250880791
2026-01-02,103176.81250880791,50.94,103176.81250880791
2026-01-05,103176.81250880791,53.46,103176.81250880791
2026-01-06,103176.81250880791,52.45,103176.81250880791
2026-01-07,103176.81250880791,51.54,103176.81250880791
2026-01-08,103176.81250880791,51.52,103176.81250880791
2026-01-09,103176.81250880791,51.16,103176.81250880791
2026-01-12,103176.81250880791,51.87,103176.81250880791
2026-01-13,103176.81250880791,53.57,103176.81250880791
2026-01-14,103176.81250880791,55.44,103176.81250880791
2026-01-15,103176.81250880791,54.0,103176.81250880791
2026-01-16,103176.81250880791,54.24,103176.81250880791
2026-01-20,103176.81250880791,50.76,103176.81250880791
2026-01-21,103176.81250880791,51.11,103176.81250880791
2026-01-22,103176.81250880791,50.67,103176.81250880791
2026-01-23,103176.81250880791,50.7,103176.81250880791
2026-01-26,103176.81250880791,49.65,103176.81250880791
2026-01-27,103176.81250880791,50.63,103176.81250880791
2026-01-28,103176.81250880791,50.51,103176.81250880791
2026-01-29,103176.81250880791,47.6,103176.81250880791
2026-01-30,103176.81250880791,47.49,103176.81250880791
2026-02-02,103176.81250880791,44.22,103176.81250880791
2026-02-03,103176.81250880791,43.3,103176.81250880791
2026-02-04,103176.81250880791,41.57,103176.81250880791
2026-02-05,103176.81250880791,36.1,103176.81250880791
2026-02-06,102910.10000880792,39.68,103176.81250880791
2026-02-09,102930.43750880791,40.11,103176.81250880791
2026-02-10,103544.68750880791,38.97,103176.81250880791
2026-02-11,103810.81250880791,38.29,103176.81250880791
2026-02-12,104071.2125088079,37.05,104071.2125088079
2026-02-13,104071.2125088079,38.97,104071.2125088079
2026-02-17,104071.2125088079,38.39,104071.2125088079
2026-02-18,104071.2125088079,37.54,104071.2125088079
2026-02-19,104071.2125088079,38.07,104071.2125088079
2026-02-20,104071.2125088079,38.42,104071.2125088079
2026-02-23,104071.2125088079,36.55,104071.2125088079
2026-02-24,104071.2125088079,36.53,104071.2125088079
2026-02-25,104071.2125088079,39.23,104071.2125088079
2026-02-26,104071.2125088079,38.26,104071.2125088079
2026-02-27,104071.2125088079,37.19,104071.2125088079
2026-03-02,104071.2125088079,39.195,104071.2125088079
2026-03-03,104071.2125088079,38.7,104071.2125088079
2026-03-04,104071.2125088079,41.44,104071.2125088079
2026-03-05,104071.2125088079,40.39,104071.2125088079
2026-03-06,104071.2125088079,38.6,104071.2125088079
2026-03-09,104071.2125088079,39.13,104071.2125088079
2026-03-10,104071.2125088079,39.71,104071.2125088079
2026-03-11,104071.2125088079,40.07,104071.2125088079
2026-03-12,104071.2125088079,39.95,104071.2125088079
2026-03-13,104071.2125088079,40.37,104071.2125088079
2026-03-16,104071.2125088079,41.94,104071.2125088079
2026-03-17,104071.2125088079,42.27,104071.2125088079
2026-03-18,104071.2125088079,40.26,104071.2125088079
2026-03-19,104071.2125088079,39.82,104071.2125088079
2026-03-20,104071.2125088079,39.77,104071.2125088079
2026-03-23,104071.2125088079,40.05,104071.2125088079
2026-03-24,104071.2125088079,39.28,104071.2125088079
2026-03-25,104071.2125088079,40.17,104071.2125088079
2026-03-26,104071.2125088079,38.82,104071.2125088079
2026-03-27,104071.2125088079,37.4,104071.2125088079
2026-03-30,104071.2125088079,37.68,104071.2125088079
2026-03-31,104388.7125088079,38.42,104071.2125088079
2026-04-01,104258.0875088079,38.64,104071.2125088079
2026-04-02,104671.2125088079,37.97,104071.2125088079
2026-04-06,104030.2750088079,39.52,104030.2750088079
2026-04-07,104030.2750088079,39.1,104030.2750088079
2026-04-08,104030.2750088079,40.42,104030.2750088079
2026-04-09,104030.2750088079,40.91,104030.2750088079
2026-04-10,104030.2750088079,41.56,104030.2750088079
2026-04-13,104030.2750088079,41.59,104030.2750088079
2026-04-14,104030.2750088079,42.13,104030.2750088079
2026-04-15,104030.2750088079,42.56,104030.2750088079
2026-04-16,104030.2750088079,42.73,104030.2750088079
2026-04-17,104030.2750088079,43.94,104030.2750088079
2026-04-20,104030.2750088079,43.25,104030.2750088079
2026-04-21,104030.2750088079,42.51,104030.2750088079
2026-04-22,104030.2750088079,44.75,104030.2750088079
